Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
navigateToUrl(URL),Chrome 120.0.0.0,,,2023-12-18 12:36:20,2023-12-18 12:36:20,"0,142s",PASSED
"click(findTestObject(""Object Repository/MenuTopbar/Page_Vacatures - RisQIT/div_Contact opnemen""))",Chrome 120.0.0.0,,,2023-12-18 12:36:20,2023-12-18 12:36:20,"0,664s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Contact - RisQIT/h1_Contact""), ""Contact"")",Chrome 120.0.0.0,,,2023-12-18 12:36:20,2023-12-18 12:36:21,"0,604s",PASSED
"click(findTestObject(""MenuTopbar/img_Logo""))",Chrome 120.0.0.0,,,2023-12-18 12:36:21,2023-12-18 12:36:21,"0,473s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Home - RisQIT/h1_Ga voor duurzaamheid en vertrouwen, same_4bc4a8""), ""Ga voor duurzaamheid en vertrouwen, samen met ons!"")",Chrome 120.0.0.0,,,2023-12-18 12:36:21,2023-12-18 12:36:22,"0,571s",PASSED
closeBrowser(),Chrome 120.0.0.0,,,2023-12-18 12:36:22,2023-12-18 12:36:22,"0,139s",PASSED
,,,,,,,
Test Cases/Menu/RT002 MenuClicks - SoftwareTesting,Chrome 120.0.0.0,,,2023-12-18 12:36:22,2023-12-18 12:36:42,"20,120s",PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,2023-12-18 12:36:22,2023-12-18 12:36:23,"0,639s",PASSED
maximizeWindow(),Chrome 120.0.0.0,,,2023-12-18 12:36:23,2023-12-18 12:36:23,"0,140s",PASSED
navigateToUrl(URL + SOFTWARETESTING),Chrome 120.0.0.0,,,2023-12-18 12:36:23,2023-12-18 12:36:24,"0,851s",PASSED
"mouseOver(findTestObject(""MenuTopbar/btn_Menu_Diensten""))",Chrome 120.0.0.0,,,2023-12-18 12:36:24,2023-12-18 12:36:24,"0,574s",PASSED
"click(findTestObject(""MenuTopbar/btn_Menu_Diensten_SoftwareTesting""))",Chrome 120.0.0.0,,,2023-12-18 12:36:24,2023-12-18 12:36:25,"0,443s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Software Testing - RisQIT/h1_Software Testing""), ""Software Testing"")",Chrome 120.0.0.0,,,2023-12-18 12:36:25,2023-12-18 12:36:26,"0,682s",PASSED
navigateToUrl(URL + SOFTWARETESTING),Chrome 120.0.0.0,,,2023-12-18 12:36:26,2023-12-18 12:36:26,"0,086s",PASSED
"mouseOver(findTestObject(""MenuTopbar/btn_Menu_Diensten""))",Chrome 120.0.0.0,,,2023-12-18 12:36:26,2023-12-18 12:36:26,"0,674s",PASSED
"click(findTestObject(""MenuTopbar/btn_Menu_Diensten_SHT""))",Chrome 120.0.0.0,,,2023-12-18 12:36:26,2023-12-18 12:36:27,"0,566s",PASSED
"verifyElementText(findTestObject(""Page_Security en HackersTest (SHT) - RisQIT/h1_Security en HackersTest (SHT)""), ""Security En HackersTest (SHT)"")",Chrome 120.0.0.0,,,2023-12-18 12:36:27,2023-12-18 12:36:28,"0,986s",PASSED
navigateToUrl(URL + SOFTWARETESTING),Chrome 120.0.0.0,,,2023-12-18 12:36:28,2023-12-18 12:36:28,"0,104s",PASSED
"mouseOver(findTestObject(""MenuTopbar/btn_Menu_Diensten""))",Chrome 120.0.0.0,,,2023-12-18 12:36:28,2023-12-18 12:36:29,"0,725s",PASSED
"click(findTestObject(""MenuTopbar/btn_Menu_Diensten_UXLab""))",Chrome 120.0.0.0,,,2023-12-18 12:36:29,2023-12-18 12:36:29,"0,441s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_UX Lab - RisQIT/h1_UX Lab""), ""UX Lab"")",Chrome 120.0.0.0,,,2023-12-18 12:36:29,2023-12-18 12:36:30,"0,596s",PASSED
navigateToUrl(URL + SOFTWARETESTING),Chrome 120.0.0.0,,,2023-12-18 12:36:30,2023-12-18 12:36:30,"0,076s",PASSED
