Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"openBrowser("""")",Chrome 120.0.0.0,,,2023-12-18 17:19:56,2023-12-18 17:19:57,"0,727s",PASSED
navigateToUrl(URL + BLOG),Chrome 120.0.0.0,,,2023-12-18 17:19:57,2023-12-18 17:19:57,"0,344s",PASSED
"callTestCase(findTestCase(""Menu/RT000.2 MobileMenu""), [:], STOP_ON_FAILURE)",Chrome 120.0.0.0,,,2023-12-18 17:19:57,2023-12-18 17:20:24,"26,817s",PASSED
closeBrowser(),Chrome 120.0.0.0,,,2023-12-18 17:20:24,2023-12-18 17:20:24,"0,153s",PASSED
,,,,,,,
Test Cases/Menu/RT025 MobileMenu - Vacatures,Chrome 120.0.0.0,,,2023-12-18 17:20:24,2023-12-18 17:20:52,"28,026s",PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,2023-12-18 17:20:24,2023-12-18 17:20:25,"0,602s",PASSED
navigateToUrl(URL + VACATURES),Chrome 120.0.0.0,,,2023-12-18 17:20:25,2023-12-18 17:20:25,"0,279s",PASSED
"callTestCase(findTestCase(""Menu/RT000.2 MobileMenu""), [:], STOP_ON_FAILURE)",Chrome 120.0.0.0,,,2023-12-18 17:20:25,2023-12-18 17:20:52,"26,915s",PASSED
closeBrowser(),Chrome 120.0.0.0,,,2023-12-18 17:20:52,2023-12-18 17:20:52,"0,174s",PASSED
,,,,,,,
Test Cases/Menu/RT026 MobileMenu - Contact,Chrome 120.0.0.0,,,2023-12-18 17:20:52,2023-12-18 17:21:20,"28,366s",PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,2023-12-18 17:20:52,2023-12-18 17:20:53,"0,687s",PASSED
navigateToUrl(URL + CONTACT),Chrome 120.0.0.0,,,2023-12-18 17:20:53,2023-12-18 17:20:53,"0,230s",PASSED
"callTestCase(findTestCase(""Menu/RT000.2 MobileMenu""), [:], STOP_ON_FAILURE)",Chrome 120.0.0.0,,,2023-12-18 17:20:53,2023-12-18 17:21:20,"27,228s",PASSED
closeBrowser(),Chrome 120.0.0.0,,,2023-12-18 17:21:20,2023-12-18 17:21:20,"0,151s",PASSED
,,,,,,,
