Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Object Repository/Page_Contact - RisQIT/input_Telefoon""), Telefoon)",Chrome 120.0.0.0,,,2023-12-19 11:19:39,2023-12-19 11:19:40,"0,800s",PASSED
"setText(findTestObject(""Object Repository/Page_Contact - RisQIT/input_opmerking""), Opmerking)",Chrome 120.0.0.0,,,2023-12-19 11:19:40,2023-12-19 11:19:41,"0,796s",PASSED
"click(findTestObject(""Page_Contact - RisQIT/chkbx_PrivacybeleidAkkoord""))",Chrome 120.0.0.0,,,2023-12-19 11:19:41,2023-12-19 11:19:41,"0,532s",PASSED
"click(findTestObject(""Object Repository/Page_Contact - RisQIT/btn_submit""))",Chrome 120.0.0.0,,,2023-12-19 11:19:41,2023-12-19 11:19:42,"0,546s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Contact - RisQIT/div_Er is een fout opgetreden bij het verst_b79445""), 0)",Chrome 120.0.0.0,,,2023-12-19 11:19:42,2023-12-19 11:19:42,"0,497s",PASSED
"click(findTestObject(""Object Repository/Page_Contact - RisQIT/div_Er is een fout opgetreden bij het verst_aab0ca""))",Chrome 120.0.0.0,,,2023-12-19 11:19:42,2023-12-19 11:19:42,"0,301s",PASSED
"setText(findTestObject(""Object Repository/Page_Contact - RisQIT/input_opmerking""), """")",Chrome 120.0.0.0,,,2023-12-19 11:19:42,2023-12-19 11:19:43,"0,785s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Contact - RisQIT/warning_Het veld is verplicht""), ""Het veld is verplicht."")",Chrome 120.0.0.0,,,2023-12-19 11:19:43,2023-12-19 11:19:43,"0,278s",PASSED
"setText(findTestObject(""Object Repository/Page_Contact - RisQIT/input_e-mail""), """")",Chrome 120.0.0.0,,,2023-12-19 11:19:43,2023-12-19 11:19:44,"0,798s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Contact - RisQIT/warning_Het veld is verplicht""), ""Het veld is verplicht."")",Chrome 120.0.0.0,,,2023-12-19 11:19:44,2023-12-19 11:19:45,"0,284s",PASSED
"setText(findTestObject(""Object Repository/Page_Contact - RisQIT/input_naam""), """")",Chrome 120.0.0.0,,,2023-12-19 11:19:45,2023-12-19 11:19:45,"0,780s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Contact - RisQIT/warning_Het veld is verplicht""), ""Het veld is verplicht."")",Chrome 120.0.0.0,,,2023-12-19 11:19:45,2023-12-19 11:19:46,"0,276s",PASSED
closeBrowser(),Chrome 120.0.0.0,,,2023-12-19 11:19:46,2023-12-19 11:19:46,"0,224s",PASSED
