Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS01 MenuCheck,Chrome 120.0.0.0,Check functionality of the menu in desktop view for all pages,,2023-12-18 12:41:32,2023-12-18 12:45:46,"4m - 14,025s",ERROR
,,,,,,,
Test Cases/Menu/RT001 MenuClicks - Homepage,Chrome 120.0.0.0,,,2023-12-18 12:41:32,2023-12-18 12:41:51,"18,995s",PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,2023-12-18 12:41:32,2023-12-18 12:41:33,"1,227s",PASSED
maximizeWindow(),Chrome 120.0.0.0,,,2023-12-18 12:41:33,2023-12-18 12:41:33,"0,145s",PASSED
navigateToUrl(URL),Chrome 120.0.0.0,,,2023-12-18 12:41:33,2023-12-18 12:41:34,"0,644s",PASSED
"mouseOver(findTestObject(""MenuTopbar/btn_Menu_Diensten""))",Chrome 120.0.0.0,,,2023-12-18 12:41:34,2023-12-18 12:41:35,"0,649s",PASSED
"click(findTestObject(""MenuTopbar/btn_Menu_Diensten_SoftwareTesting""))",Chrome 120.0.0.0,,,2023-12-18 12:41:35,2023-12-18 12:41:36,"1,035s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Software Testing - RisQIT/h1_Software Testing""), ""Software Testing"")",Chrome 120.0.0.0,,,2023-12-18 12:41:36,2023-12-18 12:41:36,"0,437s",PASSED
navigateToUrl(URL),Chrome 120.0.0.0,,,2023-12-18 12:41:36,2023-12-18 12:41:36,"0,119s",PASSED
"mouseOver(findTestObject(""MenuTopbar/btn_Menu_Diensten""))",Chrome 120.0.0.0,,,2023-12-18 12:41:36,2023-12-18 12:41:37,"0,594s",PASSED
"click(findTestObject(""MenuTopbar/btn_Menu_Diensten_SHT""))",Chrome 120.0.0.0,,,2023-12-18 12:41:37,2023-12-18 12:41:38,"0,644s",PASSED
"verifyElementText(findTestObject(""Page_Security en HackersTest (SHT) - RisQIT/h1_Security en HackersTest (SHT)""), ""Security En HackersTest (SHT)"")",Chrome 120.0.0.0,,,2023-12-18 12:41:38,2023-12-18 12:41:38,"0,435s",PASSED
navigateToUrl(URL),Chrome 120.0.0.0,,,2023-12-18 12:41:38,2023-12-18 12:41:38,"0,110s",PASSED
"mouseOver(findTestObject(""MenuTopbar/btn_Menu_Diensten""))",Chrome 120.0.0.0,,,2023-12-18 12:41:38,2023-12-18 12:41:39,"0,564s",PASSED
"click(findTestObject(""MenuTopbar/btn_Menu_Diensten_UXLab""))",Chrome 120.0.0.0,,,2023-12-18 12:41:39,2023-12-18 12:41:39,"0,549s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_UX Lab - RisQIT/h1_UX Lab""), ""UX Lab"")",Chrome 120.0.0.0,,,2023-12-18 12:41:39,2023-12-18 12:41:40,"0,437s",PASSED
navigateToUrl(URL),Chrome 120.0.0.0,,,2023-12-18 12:41:40,2023-12-18 12:41:40,"0,114s",PASSED
"click(findTestObject(""MenuTopbar/btn_Menu_OverOns""))",Chrome 120.0.0.0,,,2023-12-18 12:41:40,2023-12-18 12:41:40,"0,455s",PASSED
